,boxoffice_num0
1657,84306
1658,217320
1659,1221427
1660,1472106
1661,315305
1662,21604
1663,1599290
1664,241196
1665,429141
1666,177428
1667,573661
1668,1128774
1669,41957
1670,296588
1671,21316
1672,385552
1673,21889
1674,22563
1675,37619
1676,5653270
1677,30389
1678,21424
1679,34091
1680,8722
1681,155348
1682,117170
1683,80754
1684,37228
1685,29539
1686,81880
1687,8461
1688,346483
1689,229005
1690,2969900
1691,42357
1692,25256
1693,19648
1694,494097
1695,487916
1696,19762
1697,14659
1698,133272
1699,73305
1700,24675
1701,11287
1702,812490
1703,28353
1704,126460
1705,319357
1706,29277
1707,3049894
1708,494126
1709,480434
1710,5802810
1711,15100
1712,24788
1713,8677249
1714,3963251
1715,241514
1716,17977
1717,728328
1718,95459
1719,210945
1720,286062
1721,19405
1722,2262758
1723,1928605
1724,634150
1725,190384
1726,41444
1727,27463
1728,12769
1729,3510017
1730,198945
1731,27739
1732,101694
1733,51246
1734,9518
1735,1689717
1736,12717
1737,526073
1738,27598
1739,42564
1740,30525
1741,75059
1742,25577
1743,3984812
1744,74250
1745,14890
1746,102374
1747,154297
1748,140336
1749,941824
1750,15023
1751,28477
1752,46411
1753,449344
1754,33017
1755,21607
1756,357736
1757,24159
1758,27854
1759,24536
1760,35111
1761,12827
1762,17543
1763,32794
1764,1721757
1765,60008
1766,9240
1767,415714
1768,119135
1769,16423
1770,6129681
1771,4945484
1772,46032
1773,3166425
1774,38232
1775,17437
1776,59455
1777,23597
1778,76803
1779,597142
1780,4015361
1781,2229239
1782,12102
1783,2625686
1784,1430885
1785,3152872
1786,16936
1787,33008
1788,17444
1789,93005
1790,12186327
1791,7120508
1792,80989
1793,21947
1794,429933
1795,13664
1796,3240370
1797,2409062
1798,1924414
1799,16897
1800,113795
1801,14398
1802,19415
1803,2006561
1804,145627
1805,29922
1806,67663
1807,16685
1808,3039889
1809,4853778
1810,12054
1811,23395
1812,27345
1813,15202
1814,14857
1815,3400034
1816,79558
1817,175153
1818,120802
1819,71264
1820,28082
1821,265810
1822,37241
1823,540410
1824,242707
1825,52144
1826,25532
1827,696436
1828,5295836
1829,2614601
1830,161245
1831,61964
1832,26262
1833,23034
1834,675966
1835,19330
1836,310956
1837,47197
1838,475309
1839,38262
1840,21136
1841,18252
1842,15481
1843,1241899
1844,1362634
1845,616481
1846,36808
1847,60829
1848,82736
1849,10942
1850,54972
1851,119171
1852,15553
1853,42470
1854,34593
1855,31137
1856,73875
1857,35569
1858,23630
1859,16933
1860,98661
1861,267440
1862,1716429
1863,4584800
1864,4313864
1865,26758
1866,21828
1867,399667
1868,17746
1869,33509
1870,305102
1871,339014
1872,24012
1873,594871
1874,668576
1875,67058
1876,29277
1877,74827
1878,186174
1879,29623
1880,665364
1881,519584
1882,2539113
1883,1077235
1884,18179
1885,1240022
1886,533776
1887,11830
1888,9015
1889,80699
1890,42413
1891,45157
1892,34795
1893,22695
1894,1208407
1895,50631
1896,294320
1897,91164
1898,300477
1899,214284
1900,282565
1901,219047
1902,40146
1903,25683
1904,8612
1905,38247
1906,12457
1907,48462
1908,153591
1909,1373873
1910,2841828
1911,1362114
1912,22266
1913,16936
1914,72444
1915,20760
1916,18802
1917,37282
1918,299205
1919,52460
1920,14991
1921,17205
1922,37351
1923,13979
1924,106030
1925,44466
1926,188084
1927,2931897
1928,132958
1929,20491
1930,44574
1931,632299
1932,28850
1933,21747
1934,139717
1935,94822
1936,44907
1937,355617
1938,1676040
1939,68711
1940,14768
1941,14609
1942,27198
1943,11910
1944,12331
1945,22734
1946,13537
1947,75598
1948,45311
1949,388300
1950,109137
1951,34899
1952,681945
1953,19508
1954,38053
1955,14491
1956,797850
1957,238257
1958,14971
1959,46373
1960,1129609
1961,179708
1962,24600
1963,24099
1964,75704
1965,53107
1966,20814
1967,42972
1968,24947
1969,341634
1970,809399
1971,45530
1972,213980
1973,225065
1974,35950
1975,108780
1976,13073
1977,257990
1978,1157949
1979,267950
1980,137788
1981,20940
1982,1204600
1983,181740
1984,485695
1985,8666046
1986,1382650
1987,412850
1988,14344
1989,27046
1990,13939
1991,177616
1992,21806
1993,29906
1994,16287
1995,15050
1996,214949
1997,955679
1998,336822
1999,43809
2000,86553
2001,445009
2002,56511
2003,806520
2004,854377
2005,1125739
2006,37002
2007,221340
2008,15140
2009,120362
2010,34331
2011,269510
2012,522929
2013,323198
2014,11785
2015,431310
2016,1967721
2017,2979659
2018,513767
2019,44680
2020,20713
2021,16914
2022,14234
2023,17450
2024,15050
2025,2836774
2026,2509887
2027,213869
2028,42972
2029,16941
2030,74034
2031,77794
2032,55273
2033,4002560
2034,2051315
2035,288016
2036,17535
2037,18215
2038,360742
2039,8552
2040,2394453
2041,71796
2042,569500
2043,142382
2044,18544
2045,13371
2046,592435
2047,284601
2048,22092
2049,38224
2050,416303
2051,323628
2052,151476
2053,449518
2054,7759761
2055,5129409
2056,21687
2057,23841
2058,64157
2059,1181960
