,name,Unnamed: 0,genre
1637,더 기버: 기억전달자,1637.0,"[['애니메이션', '모험', '가족', '프랑스', '2018']]"
1638,도희야,1638.0,"[['가족', '한국', '2019']]"
1639,더 시그널,1639.0,"[['스릴러', '한국', '2013']]"
1640,니드 포 스피드,1640.0,"[['액션', '모험', '미국', '2014']]"
1641,인사이드 르윈,1641.0,"[['애니메이션', '일본', '2013']]"
1642,베리 굿 걸,1642.0,"[['액션', '범죄', '스릴러', '미국', '2014']]"
1643,박스트롤,1643.0,"[['코미디', '드라마', '영국', '미국', '2013']]"
1644,다이노소어 어드벤처 3D,1644.0,"[['공포', '스릴러', '한국', '2014']]"
1645,슈퍼미니,1645.0,"[['드라마', '멜로/로맨스', '미국', '2013']]"
1646,집으로 가는 길,1646.0,"[['공포', '스릴러', '중국', '한국', '2013']]"
1647,살인자,1647.0,"[['코미디', '멜로/로맨스', '미국', '2014']]"
1648,허큘리스,1648.0,"[['코미디', '드라마', '멜로/로맨스', '미국', '2014']]"
1649,짱구는 못말려 극장판：엄청 맛있어! B급 음식 서바이벌!,1649.0,"[['미스터리', '멜로/로맨스', '스릴러', '독일', '스위스', '포르투갈', '2013']]"
1650,씬 시티: 다크히어로의 부활,1650.0,"[['애니메이션', '모험', '가족', '남아프리카 공화국', '2013']]"
1651,원 챈스,1651.0,"[['드라마', '가족', '일본', '2013']]"
1652,터널 3D,1652.0,"[['액션', '범죄', '드라마', '프랑스', '캐나다', '2014']]"
1653,페이스 오브 러브,1653.0,"[['애니메이션', '일본', '2004']]"
1654,분신사바 2,1654.0,"[['코미디', '멜로/로맨스', '미국', '2012']]"
1655,아더 우먼,1655.0,"[['액션', '드라마', '말레이지아', '2017']]"
1656,매직 인 더 문라이트,1656.0,"[['코미디', '드라마', '미국', '2013']]"
1657,리스본행 야간열차,1657.0,"[['액션', '드라마', '미국', '독일', '2014']]"
1658,쿰바: 반쪽무늬 얼룩말의 대모험,1658.0,"[['드라마', '미국', '2013']]"
1659,그렇게 아버지가 된다,1659.0,"[['범죄', '공포', '스릴러', '미국', '2014']]"
1660,브릭 맨션: 통제불능 범죄구역,1660.0,"[['공포', '스릴러', '러시아 연방', '스페인', '2017']]"
1661,극장판 포켓몬스터 AG - 아름다운 소원의 별 지라치,1661.0,"[['드라마', '한국', '2013']]"
1662,프란시스 하,1662.0,"[['드라마', '덴마크', '독일', '프랑스', '벨기에', '영국', '2013']]"
1663,정글히어로,1663.0,"[['공포', '스릴러', '미국', '2014']]"
1664,어거스트: 가족의 초상,1664.0,"[['액션', 'SF', '일본', '2012']]"
1665,모뉴먼츠 맨: 세기의 작전,1665.0,"[['실험', '다큐멘터리', '프랑스', '미국', '2017']]"
1666,달라스 바이어스 클럽,1666.0,"[['드라마', '멜로/로맨스', '중국', '2014']]"
1667,인보카머스,1667.0,"[['코미디', '드라마', '캐나다', '2016']]"
1668,더 바디,1668.0,"[['미스터리', '스릴러', '영국', '2014']]"
1669,경주,1669.0,"[['드라마', '멜로/로맨스', '프랑스', '2013']]"
1670,님포매니악 볼륨1,1670.0,"[['애니메이션', '코미디', '드라마', '가족', '프랑스', '2012']]"
1671,더 퍼지 : 거리의 반란,1671.0,"[['다큐멘터리', '한국', '2014']]"
1672,극장판 가면라이더 VS 파워레인저 슈퍼히어로 대전,1672.0,"[['다큐멘터리', '한국', '2014']]"
1673,다이애나,1673.0,"[['범죄', '드라마', '멜로/로맨스', '이탈리아', '2013']]"
1674,5일의 마중,1674.0,"[['멜로/로맨스', '코미디', '한국', '2013']]"
1675,프랭크,1675.0,"[['스릴러', '한국', '2014']]"
1676,내가 잠들기 전에,1676.0,"[['드라마', '코미디', '멜로/로맨스', '한국', '2013']]"
1677,"가장 따뜻한 색, 블루",1677.0,"[['애니메이션', '모험', '코미디', '중국', '2014']]"
1678,어네스트와 셀레스틴,1678.0,"[['애니메이션', '판타지', '모험', '한국', '2013']]"
1679,다이빙벨,1679.0,"[['스릴러', '스페인', '2016']]"
1680,"제자, 옥한흠",1680.0,"[['코미디', '드라마', '이탈리아', '프랑스', '2013']]"
1681,베스트 오퍼,1681.0,"[['드라마', '가족', '한국', '2014']]"
1682,내 연애의 기억,1682.0,"[['코미디', '미국', '2014']]"
1683,설계,1683.0,"[['드라마', '미국', '2014']]"
1684,족구왕,1684.0,"[['애니메이션', '드라마', '판타지', '멜로/로맨스', '일본', '2013']]"
1685,부니 베어: 롤라 구출 대모험,1685.0,"[['드라마', '한국', '2014']]"
1686,우리별 일호와 얼룩소,1686.0,"[['드라마', '영국', '미국', '프랑스', '2013']]"
1687,울브스,1687.0,"[['코미디', '드라마', '한국', '2013']]"
1688,그레이트 뷰티,1688.0,"[['애니메이션', '모험', '스웨덴', '덴마크', '2014']]"
1689,개를 훔치는 완벽한 방법,1689.0,"[['애니메이션', '모험', '코미디', '가족', 'SF', '미국', '캐나다', '2013']]"
1690,나쁜 이웃들,1690.0,"[['드라마', '뮤지컬', '독일', '이탈리아', '2013']]"
1691,천국에 다녀온 소년,1691.0,"[['다큐멘터리', '드라마', '한국', '2013']]"
1692,그날 본 꽃의 이름을 우리는 아직 모른다,1692.0,"[['다큐멘터리', '한국', '2014']]"
1693,자유의 언덕,1693.0,"[['드라마', '한국', '2018']]"
1694,필로미나의 기적,1694.0,"[['드라마', '미국', '2012']]"
1695,백프로,1695.0,"[['드라마', '멜로/로맨스', '미국', '영국', '독일', '프랑스', '2013']]"
1696,몬스터 왕국,1696.0,"[['애니메이션', '한국', '2014']]"
1697,슈퍼노바 지구 탈출기,1697.0,"[['애니메이션', '미국', '2014']]"
1698,파가니니: 악마의 바이올리니스트,1698.0,"[['코미디', '드라마', '멜로/로맨스', '영국', '2013']]"
1699,만신,1699.0,"[['드라마', '판타지', '프랑스', '벨기에', '2013']]"
1700,목숨,1700.0,"[['드라마', '미국', '2013']]"
1701,마미,1701.0,"[['SF', '드라마', '미스터리', '스릴러', '미국', '영국', '2013']]"
1702,초콜렛 도넛,1702.0,"[['드라마', '멜로/로맨스', '미국', '2013']]"
1703,오직 사랑하는 이들만이 살아남는다,1703.0,"[['애니메이션', '모험', '스페인', '이탈리아', '프랑스', '2013']]"
1704,"메밀꽃, 운수 좋은 날, 그리고 봄봄",1704.0,"[['가족', '드라마', '일본', '2013']]"
1705,꼬마 잠수함 올리 2,1705.0,"[['코미디', '프랑스', '2014']]"
1706,위크엔드 인 파리,1706.0,"[['코미디', '드라마', '인도', '2012']]"
1707,무드 인디고,1707.0,"[['드라마', '미국', '2014']]"
1708,배틀 오브 비보이,1708.0,"[['드라마', '프랑스', '2015']]"
1709,그래비티,1709.0,"[['스릴러', '미국', '2013']]"
1710,킬 유어 달링,1710.0,"[['멜로/로맨스', '코미디', '미국', '2013']]"
1711,마이 블랭키,1711.0,"[['애니메이션', '가족', '영국', '미국', '2014']]"
1712,동경가족,1712.0,"[['애니메이션', '중국', '2015']]"
1713,꼬마 니콜라의 여름방학,1713.0,"[['스웨덴', '2020']]"
1714,굿모닝 맨하탄,1714.0,"[['멕시코', '2019']]"
1715,앵그리스트 맨,1715.0,"[['뮤지컬', '드라마', '코미디', '영국', '2013']]"
1716,벨과 세바스찬,1716.0,"[['애니메이션', '판타지', '모험', '중국', '2014']]"
1717,마인드스케이프,1717.0,"[['애니메이션', '모험', '노르웨이', '2013']]"
1718,지골로 인 뉴욕,1718.0,"[['애니메이션', '서스펜스', '모험', '한국', '일본', '2014']]"
1719,행복배달부 팻아저씨,1719.0,"[['드라마', '미스터리', '덴마크', '벨기에', '프랑스', '독일', '영국', '2013']]"
1720,꼬마잠수함 올리,1720.0,"[['스페인', '2016']]"
1721,왓 이프,1721.0,"[['한국', '2014']]"
1722,어떤 만남,1722.0,"[['애니메이션', 'SF', '판타지', '한국', '2014']]"
1723,선샤인 온 리스,1723.0,"[['코미디', '멜로/로맨스', '미국', '2014']]"
1724,유고와 라라 : 신비의 숲 어드벤처,1724.0,"[['다큐멘터리', '애니메이션', '미국', '2012']]"
1725,꼬마영웅 경찰차 프로디2,1725.0,"[['애니메이션', '프랑스', '2019']]"
1726,쥬로링 동물탐정 극장판,1726.0,"[['드라마', '멜로/로맨스', '미국', '2014']]"
1727,님포매니악 볼륨2,1727.0,"[['애니메이션', '한국', '2013']]"
1728,비행기,1728.0,"[['애니메이션', '모험', '러시아 연방', '2011']]"
1729,GROW: 인피니트의 리얼 청춘 라이프,1729.0,"[['드라마', '스위스', '독일', '프랑스', '2014']]"
1730,고스트 메신저 극장판,1730.0,"[['애니메이션', '모험', '일본', '2011']]"
1731,타임 투 러브,1731.0,"[['드라마', '프랑스', '2014']]"
1732,디노타샤: 공룡대탐험,1732.0,"[['다큐멘터리', '한국', '일본', '2013']]"
1733,거인,1733.0,"[['다큐멘터리', '브라질', '2017']]"
1734,엔들리스 러브,1734.0,"[['다큐멘터리', '한국', '2014']]"
1735,극장판 뛰뛰빵빵 구조대 미션: 둥둥이를 구하라!,1735.0,"[['코미디', '프랑스', '벨기에', '2014']]"
1736,천하무적 키코리키,1736.0,"[['다큐멘터리', '한국', '2014']]"
1737,클라우즈 오브 실스마리아,1737.0,"[['드라마', '코미디', '멜로/로맨스', '영국', '2011']]"
1738,초원의 왕 도제,1738.0,"[['애니메이션', '모험', '코미디', '가족', '러시아 연방', '2014']]"
1739,이브 생 로랑,1739.0,"[['드라마', '아이슬란드', '프랑스', '스위스', '2019']]"
1740,60만번의 트라이,1740.0,"[['공연실황', '영국', '2014']]"
1741,그랜드 피아노,1741.0,"[['애니메이션', '모험', '이스라엘', '2013']]"
1742,그 사람 그 사랑 그 세상,1742.0,"[['애니메이션', '모험', '캐나다', '2013']]"
1743,슈퍼처방전,1743.0,"[['일본', '네덜란드', '2020']]"
1744,누구에게나 찬란한,1744.0,"[['애니메이션', '중국', '2013']]"
1745,사막에서 연어낚시,1745.0,"[['애니메이션', 'SF', '모험', '일본', '2013']]"
1746,스페이스 독 2,1746.0,"[['드라마', '한국', '2014']]"
1747,에코,1747.0,"[['코미디', '미국', '2014']]"
1748,빌리 엘리어트 뮤지컬 라이브,1748.0,"[['코미디', '범죄', '스릴러', '미국', '프랑스', '2013']]"
1749,비포 : 치즈와 초콜릿을 찾아서,1749.0,"[['판타지', '스릴러', '미국', '2014']]"
1750,이디야와 얼음왕국의 전설,1750.0,"[['애니메이션', '일본', '2014']]"
1751,스톤,1751.0,"[['애니메이션', '모험', '노르웨이', '2010']]"
1752,본타: 땅콩왕국의 전설,1752.0,"[['한국', '2014']]"
1753,캡틴 하록,1753.0,"[['멜로/로맨스', '드라마', '한국', '2013']]"
1754,더 테너 리리코 스핀토,1754.0,"[['미스터리', '스릴러', 'SF', '미국', '2013']]"
1755,밀리언 웨이즈,1755.0,"[['애니메이션', '드라마', '판타지', '일본', '2013']]"
1756,위험한 패밀리,1756.0,"[['액션', '모험', '애니메이션', '중국', '2013']]"
1757,혼스,1757.0,"[['스릴러', '드라마', '영국', '미국', '독일', '2014']]"
1758,호비와 쿠우의 어드벤처 : 고래의 노래,1758.0,"[['스릴러', '오스트레일리아', '2018']]"
1759,엘리아스: 바다의 보물을 찾아라!,1759.0,"[['애니메이션', '프랑스', '2015']]"
1760,프라이버시,1760.0,"[['액션', '서부', '덴마크', '영국', '남아프리카 공화국', '2014']]"
1761,산타바바라,1761.0,"[['애니메이션', '모험', '가족', '코미디', '일본', '2012']]"
1762,오드토머스,1762.0,"[['애니메이션', '가족', '영국', '2013']]"
1763,가구야공주 이야기,1763.0,"[['코미디', '드라마', '멜로/로맨스', '미국', '2012']]"
1764,로코왕국의 전설: 엘프킹을 찾아서,1764.0,"[['드라마', '코미디', '일본', '2013']]"
1765,모스트 원티드 맨,1765.0,"[['모험', '애니메이션', '이스라엘', '2013']]"
1766,메멘토,1766.0,"[['애니메이션', '코미디', '가족', '뮤지컬', '미국', '2013']]"
1767,물랑루즈,1767.0,"[['다큐멘터리', '한국', '2014']]"
1768,웨스턴 리벤지,1768.0,"[['한국', '2021']]"
1769,극장판 날아라! 호빵맨 : 바나나섬을 되찾아줘,1769.0,"[['가족', '애니메이션', '모험', '독일', '2013']]"
1770,토마스와 친구들: 잃어버린 왕관,1770.0,"[['드라마', '스릴러', '프랑스', '미국', '2014']]"
1771,스턱 인 러브,1771.0,"[['드라마', '멜로/로맨스', '인도', '프랑스', '독일', '2013']]"
1772,행복한 사전,1772.0,"[['코미디', '공포', '멜로/로맨스', '태국', '2013']]"
1773,"하늘을 나는 강아지, 비포와 친구들",1773.0,"[['범죄', '드라마', '스릴러', '미국', '2013']]"
1774,세이빙 산타,1774.0,"[['애니메이션', '멜로/로맨스', '일본', '2013']]"
1775,쿼바디스,1775.0,"[['스릴러', '범죄', '미국', '2012']]"
1776,봄,1776.0,"[['액션', '모험', '한국', '2016']]"
1777,피노키오의 모험,1777.0,"[['다큐멘터리', '한국', '2013']]"
1778,버진 스노우,1778.0,"[['드라마', '중국', '2014']]"
1779,런치박스,1779.0,"[['영국', '브라질', '2015']]"
1780,피막,1780.0,"[['미스터리', '스릴러', '한국', '2013']]"
1781,테레즈 라캥,1781.0,"[['뮤지컬', '멜로/로맨스', '영국', '2014']]"
1782,중2병이라도 사랑이 하고 싶어! 극장판,1782.0,"[['코미디', '드라마', '미국', '영국', '오스트레일리아', '2013']]"
1783,프로즌 그라운드,1783.0,"[['애니메이션', '한국', '2021']]"
1784,캐치미,1784.0,"[['애니메이션', '모험', '중국', '2013']]"
1785,그 사람 추기경,1785.0,"[['드라마', '미국', '2011']]"
1786,황금시대,1786.0,"[['공포', '스릴러', '액션', '미국', '2011']]"
1787,몽상가들,1787.0,"[['공포', '일본', '2013']]"
1788,조난자들,1788.0,"[['공연실황', '영국', '2019']]"
1789,할리데이,1789.0,"[['다큐멘터리', '영국', '2016']]"
1790,세이빙 미스터 뱅크스,1790.0,"[['애니메이션', '오스트레일리아', '2013']]"
1791,시선,1791.0,"[['공포', '한국', '2016']]"
1792,아바타 정글의 비밀,1792.0,"[['SF', '액션', '드라마', '한국', '2013']]"
1793,디태치먼트,1793.0,"[['드라마', '한국', '2013']]"
1794,유아 넥스트,1794.0,"[['SF', '모험', '액션', '미국', '중국', '2013']]"
1795,사다코 2,1795.0,"[['드라마', '공포', '미스터리', '미국', '2016']]"
1796,로미오와 줄리엣,1796.0,"[['액션', '드라마', '코미디', '한국', '2013']]"
1797,르누아르,1797.0,"[['드라마', '한국', '2013']]"
1798,피쉬와 칩스 극장판,1798.0,"[['드라마', '한국', '2020']]"
1799,현기증,1799.0,"[['액션', '미국', '2020']]"
1800,설국열차,1800.0,"[['범죄', '액션', '스릴러', '한국', '2013']]"
1801,관상,1801.0,"[['액션', '서스펜스', '영국', '2017']]"
1802,아이언맨 3,1802.0,"[['애니메이션', '체코', '2020']]"
1803,베를린,1803.0,"[['코미디', '한국', '2012']]"
1804,은밀하게 위대하게,1804.0,"[['액션', '스릴러', '미국', '2020']]"
