,name,actor1.0_a_avg,actor1.0_r_avg
96,점박이 한반도의 공룡2 : 새로운 낙원,1146615.1428571427,8.586666666666666
97,자전차왕 엄복동,1415403.9285714284,7.5055555555555555
98,진범,763307.5446428572,7.872142857142856
99,더 페이버릿: 여왕의 여자,554932.9682539683,8.80686507936508
100,이웃집 토토로,0.0,9.53
101,가버나움,140000.0,9.54
102,눈의 여왕4,0.0,8.3125
103,크롤,8078.0,6.52
104,극장판 엉덩이 탐정: 화려한 사건 수첩,0.0,0.0
105,해리포터와 비밀의 방,685898.4777777778,7.593444444444445
106,0.0MHz,1134619.6458333335,7.202083333333334
107,좀비랜드: 더블 탭,625718.25,7.943785714285714
108,미드웨이,0.0,7.970000000000001
109,프린스 코기,796530.2857142857,7.407142857142857
110,윤희에게,1099562.8333333333,8.17209523809524
111,명탐정 코난:전율의 악보,0.0,0.0
112,교회오빠,276967.875,7.528888888888889
113,암전,64704.25,7.784583333333334
114,미래의 미라이,96092.875,7.6625
115,람보 : 라스트 워,129255.2,7.380000000000001
116,공포의 묘지,0.0,0.0
117,원더랜드,158595.97222222222,7.03375
118,크게 될 놈,1660684.5833333333,8.0205
119,콜드 체이싱,182666.66666666663,7.198333333333334
120,라스트 미션,1349569.3125,7.904375000000001
121,파이브 피트,372449.2,8.004
122,소피와 드래곤: 마법책의 비밀,4426750.0,7.905
123,러브 앳,41723.0,8.889
124,아내를 죽였다,1173672.8888888888,7.479166666666667
125,구스 베이비,1051617.25,7.94
126,더 보이,109422.23333333335,7.827500000000001
127,레고 무비2,230116.2166666667,8.263333333333332
128,미드소마,391965.8333333333,8.337777777777779
129,그대 이름은 장미,1795439.9438775512,7.793829931972788
130,스파이더맨: 뉴 유니버스,523263.5,8.661166666666665
131,"어쩌다, 결혼",2457714.285714286,7.357857142857144
132,극장판 짱구는 못말려: 아뵤! 쿵후 보이즈 ~라면 대란~,0.0,0.0
133,호텔 뭄바이,434469.5666666667,8.473875
134,카운트다운,213550.0,6.7556666666666665
135,극장판 반지의 비밀일기,3370000.0,7.938333333333333
136,그린치,247190.4,8.548
137,몬스터 하우스,103249.11111111111,7.909999999999999
138,닥터 슬립,585128.119047619,8.332301587301588
139,1919 유관순,168571.33333333334,7.941607142857143
140,안녕 베일리,775326.5166666667,8.306833333333334
141,사탄의 인형,35500.0,6.0725
142,애프터,565306.5,5.220000000000001
143,왓칭,820409.6375,7.677625
144,사일런스,114559.77777777775,7.808333333333334
145,빅샤크2: 해저2만리,83252.04761904762,7.05
146,마약왕,3868066.6666666665,7.999666666666667
147,세상을 바꾼 변호인,143088.8333333333,8.234375
148,슈퍼미니 2,22001.208333333336,8.00625
149,페이트 스테이 나이트 헤븐즈필 제2장 로스트 버터플라이,0.0,0.0
150,업사이드,598149.6507936508,8.439444444444444
151,빅트립: 아기팬더 배달 대모험,0.0,0.0
152,마담 싸이코,106322.88571428573,7.385249999999999
153,쿠르스크,244086.23015873018,8.373968253968254
154,파비안느에 관한 진실,16590.399999999998,7.410166666666666
155,칠곡 가시나들,0.0,0.0
156,일일시호일,43018.15476190476,8.031031746031745
157,더 와이프,587405.4,8.290000000000001
158,주전장,0.0,0.0
159,메기,46000.0,6.8125
160,프란치스코 교황 : 맨 오브 히스 워드,0.0,0.0
161,인생 후르츠,69401.71428571429,8.651428571428571
162,드래곤볼 슈퍼: 브로리,166750.0,8.385
