,month,year,num_of_screen0,num_of_screening0,nation2,num_of_ch,major_distributor,grade,time,gen1,gen2,gen3,gen4,gen5,gen6,gen7,gen8,gen9,gen10,gen11,gen12,gen13,gen14,gen15,gen16,gen17,gen18,a_avg_dir,r_avg_dir,a_avg_act,r_avg_act
1613,6,2019,849,29819,1,1,0.0,4,131.0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,225768.32117104737,5.498639112275811,1113087.75,7.102
1614,11,2019,585,13536,1,4,1.0,3,99.0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1028777.0,8.5375,625718.25,7.943785714
1615,7,2015,34,978,2,4,0.0,4,126.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,6720.8,7.796,48018.375,7.6175
1616,9,2017,101,1881,2,2,0.0,2,107.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,18096.0,8.485,31000.0,8.67
1617,2,2016,637,27125,0,6,1.0,2,123.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,225768.32117104737,5.498639112275811,1426542.078,7.659121032
1618,7,2014,371,17831,0,3,1.0,4,114.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,225768.32117104737,5.498639112275811,3384666.667,7.62731746
1619,9,2018,70,1973,0,6,0.0,3,113.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,225768.32117104737,5.498639112275811,290716.0679,7.864166667
1620,12,2012,286,7086,1,0,1.0,1,112.0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2453333.333,9.213333333,954921.8611,8.706666667
1621,1,2019,1453,56412,1,4,1.0,1,112.0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2453333.333,9.213333333,954921.8611,8.706666667
1622,7,2014,394,15339,2,2,1.0,3,91.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,159206.6667,5.64,136968.3333,4.45
1623,10,2015,318,4882,2,2,1.0,3,90.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,159206.6667,5.64,70908.0,5.33875
1624,7,2019,56,2014,1,1,0.0,1,121.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,40000.0,9.67,288941.8016220561,5.461852312476617
1625,2,2016,735,131005,1,6,1.0,1,108.0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3280666.667,9.059666667,2277615.3,8.302638095
1626,2,2015,561,16454,1,4,1.0,2,127.0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,660000.0,8.048333333,568953.6964,7.798988095
1627,10,2016,317,8350,0,3,0.0,4,111.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,545063.4,6.108,921133.0238,7.930342262
1628,8,2016,92,2163,1,1,0.0,2,128.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,100000.0,8.77,205294.1667,8.105
1629,2,2014,32,548,2,1,0.0,1,97.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,17771.25,8.3075,288941.8016220561,5.461852312476617
1630,5,2018,113,2168,2,0,0.0,2,99.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225768.32117104737,5.498639112275811,288941.8016220561,5.461852312476617
1631,6,2013,83,1941,1,4,1.0,3,83.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,225768.32117104737,4.872857143,254.0,4.245833333
1632,6,2015,1290,118959,1,0,1.0,2,127.0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,225768.32117104737,5.498639112275811,55776.25,7.150479167
1633,6,2018,1972,144779,1,2,1.0,2,127.0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1308032.6,8.41,1471500.0,8.595
1634,12,2014,188,1052,0,6,1.0,1,75.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,66250.0,8.3675,905000.0,8.2775
