,name,r_avg,a_avg
276, 고창석,7.933333333333334,1395000.0
277, 쿠니시마 나오키,8.76,33128.5
278, 오오타니 이쿠에,NULL,NULL
279, 벤 벡커,8.954999999999998,14000.0
280, 다니엘 브륄,6.665,9000.0
281, 까뜨린느 드뇌브,7.945,14893.0
282, 이지훈,7.9625,1173134.75
283, 베르나데트 라퐁,8.388,35305.0
284, 캐리 월그렌,8.488,395800.0
285, 조이 도이치,8.06,49250.0
286, 미무라 유우나,NULL,NULL
287, 히노 사토시,NULL,NULL
288, 하야시야 쇼조,8.625,70631.5
289, 성지루,7.767142857142858,771249.7142857143
290, 김우남,NULL,NULL
291, 방성준,8.73,NULL
292, 앤디 바클레이,NULL,NULL
293, 오쿠다 타츠히토,NULL,NULL
294, 리정샹,NULL,NULL
295, 나카야마 미호,7.135714285714285,14750.0
296, 신한호,6.373333333333332,16333.333333333334
297, 데이빗 모스,NULL,NULL
298, 김주호,NULL,NULL
299, 박성태,NULL,NULL
300, 허성재,7.54,1530000.0
301, 벤 포스터,NULL,NULL
302, 테레사 팔머,8.196,260478.2
303, 강타,6.002,34500.0
304, 백진희,6.946250000000001,110625.0
305, 조니 뎁,7.136666666666667,807348.3333333334
306, 바네사 윌리암스,5.825,150934.5
307, 엘리스 폴,NULL,NULL
308, 박효신,NULL,NULL
309, 벤 하디,8.9725,3232500.0
310, 우치다 마아야,NULL,NULL
311, 데미안 비쉬어,7.381428571428571,352669.28571428574
312, 윤복성,6.902500000000001,736852.6
313, 모리타 마사카즈,NULL,NULL
314, 최석필,6.15,1750000.0
315, 후카츠 에리,8.253333333333332,38388.0
316, 변우석,NULL,NULL
317, 에드 옥슨볼드,7.456666666666666,22859.666666666668
318, 아베 히로시,6.960000000000001,451.5
319, 데이비드 카에,8.275,365666.6666666667
320, 레슬리 오덤 주니어,7.324999999999999,440000.0
321, 페네로피 밀포드,NULL,NULL
322, 리아나,NULL,NULL
323, 미즈타 와사비,NULL,NULL
324, 커트 러셀,8.76,1147199.3333333333
325, 김인우,8.35,3062543.5
326, 이다 엥볼,9.06,93000.0
327, 문성근,8.661666666666667,2026653.5
328, 칸다 사야카,8.85,110000.0
329, 유청운,NULL,NULL
330, 톰 커트니,7.395,39000.0
331, 마이클 J. 폭스,8.04,NULL
