,actor,필모그래피 개수,천만관객 뱃지 유무,수상 개수
751, 조안 알렌,,,
752, 임원희,,,
753, 이완 브렘너,,,
754, 나츠카와 유이,,,
755, 유지태,,,
756, 주드 로,,,
757, 마틴 센스마이어,,,
758, 존 조,,,
759, 사브리나 페릴리,,,
760, 엘리자베스 올슨,,,
761, 박인환,,,
762, 타카기 와타루,,,
763, 루이스 호프만,,,
764, 제시 빌드너,,,
765, 바바라 허쉬,,,
766, 로빈 앳킨 다운즈,,,
767, 호아킨 피닉스,,,
768, 김환희,,,
769, 비니 존스,,,
770, 김경희,,,
771, 록산느 맥키,,,
772, 휴고 실바,,,
773, 방연지,,,
774, 정우,,,
775, 키이라 나이틀리,,,
776, 파멜라 애들론,,,
777, 윤계상,,,
778, 쿠마이 모토코,,,
779, 제시 맥카트니,,,
780, 브래들리 쿠퍼,,,
781, 빈스 본,,,
782, 박월선,,,
783, 이원찬,,,
784, 로즈 레슬리,,,
785, 예지원,,,
786, 해몽요,,,
787, 아이다 리카코,,,
788, 코린 폭스,,,
789, 카이 스트로인크,,,
790, 프란시스 맥도맨드,,,
791, 다이안 키튼,,,
792, 유이화,,,
793, 메디 모인자데,,,
794, 제니퍼 로페즈,,,
795, 오유진,,,
796, 아만다 사이프리드,,,
797, 윌리암 볼드윈,,,
798, 로빈 웨이거트,,,
799, 채정안,,,
800, 헤일리 스테인펠드,,,
801, 주디 켈름,,,
802, 키쿠치 코코로,,,
803, 조정석,,,
804, 김강우,,,
805, 이승행,,,
806, 존 F.브룬고트,,,
807, 빌리 크루덥,,,
808, 김응수,,,
809, 샬토 코플리,,,
810, 마크 월버그,,,
811, 타네다 리사,,,
812, 안효민,,,
813, 김하늘,,,
814, 유아,,,
815, 가이 피어스,,,
816, 이장원,,,
817, 정재일,,,
818, 박세진,,,
819, 김희애,,,
820, 키요하라 카야,,,
821, 함수정,,,
822, 미란다 코스그로브,,,
823, 예카테리나 삼소노프,,,
824, 캐서린 키너,,,
825, 고동업,,,
826, 에드워드 허먼,,,
827, 류세이 료,,,
828, 스펜서 로크,,,
829, 아놀드 오셍,,,
830, 애덤 브로디,,,
831, 마허샬라 알리,,,
832, 나가하마 신,,,
833, 데비드 스트리에소브,,,
834, 서지연,,,
835, 모니카 벨루치,,,
836, 오웬 윌슨,,,
837, 조은지,,,
838, 엘리너 톰린슨,,,
839, 알렉산드라 라미,,,
840, 쿠도 아스카,,,
841, 블라디미르 브도비첸코프,,,
842, 잭 맥고원,,,
843, 아델 하에넬,,,
844, 최명빈,,,
845, 아누팜 커,,,
846, 시호,,,
847, 서원석,,,
848, 마리안 알바레즈,,,
849, 나카지마 토모코,,,
850, 김명민,,,
851, 교삼,,,
852, 캐서린 랭포드,,,
853, 닐 패트릭 해리스,,,
854, 매튜 그레이 구블러,,,
855, 야마자키 와카나,,,
856, 이시카와 카이토,,,
857, 제시카 브라운 핀들레이,,,
858, 마리아 카보이아니,,,
859, 아콰피나,,,
860, 덩차오,,,
861, 린 샤예,,,
862, 모로호시 스미레,,,
863, 조엘 에저튼,,,
864, 후쿠하라 하루카,,,
865, 이와이 유키코,,,
866, 마미야 쇼타로,,,
867, 닉 오퍼맨,,,
868, 맷 데이먼,,,
869, 레이첼 와이즈,,,
870, 백윤식,,,
871, 루 리드,,,
872, 알리슨 스토너,,,
873, 전종서,,,
874, 이브 자크,,,
875, 다코타 패닝,,,
876, 크리스텔라 알론조,,,
877, 로버트 패틴슨,,,
878, 헬렌 헌트,,,
879, 고준희,,,
880, 엠마누엘 자이그너,,,
881, 우에사카 스미레,,,
882, 박지윤,,,
