,actor,필모그래피 개수,천만관객 뱃지 유무,수상 개수
2980, 크리스토퍼 리,,,
2981, 로스 마퀀드,,,
2982, 알렉산드르 렌코브,,,
2983, 프란시스 오코너,,,
2984, 캐리 피셔,,,
2985, 브라이언 콕스,,,
2986, 오은주,,,
2987, 알렉스 로,,,
2988, 스기사키 하나,,,
2989, 이현학,,,
2990, 팜 페리스,,,
2991, 김휘,,,
2992, 히로세 스즈,,,
2993, 전소니,,,
2994, J. B. 스무브,,,
2995, 한인숙,,,
2996, 김민재,,,
2997, 헤이든 롤렌스,,,
2998, 표영재,,,
2999, 아담 드라이버,,,
3000, 에린 피츠제럴드,,,
3001, 이지원,,,
3002, 이태임,,,
3003, 제시카 알바,,,
3004, 로빈 라이트,,,
3005, 발레리 파흐너,,,
3006, 잭 휴스턴,,,
3007, 소녀시대,,,
3008, 윌.아이.엠,,,
3009, 해리 스타일스,,,
3010, 알리슨 브리,,,
3011, 아비게일 브레스린,,,
3012, 산드라 엘리스 라퍼티,,,
3013, 나오미 왓츠,,,
3014, 마르코 레오나르디,,,
3015, 이토 시즈카,,,
3016, 시손 쥰,,,
3017, 브라이언 크랜스톤,,,
3018, 소피아 베르가라,,,
3019, 빌 팩스톤,,,
3020, 한채언,,,
3021, 친란,,,
3022, 오오이즈미 요,,,
3023, 매디슨 울프,,,
3024, 케리 워싱턴,,,
3025, 미키 데자키,,,
3026, 루퍼트 에반스,,,
3027, 테라지마 시노부,,,
3028, 마이크 타이슨,,,
3029, 치바 스스무,,,
3030, 반 시게루,,,
3031, 타케우치 료마,,,
3032, 헬렌 벤상,,,
3033, 크리스토퍼 민츠 프래지,,,
3034, 박고운,,,
3035, 준호,,,
3036, 로렌 코핸,,,
3037, 유우키 아오이,,,
3038, 주상욱,,,
3039, 이재인,,,
3040, 셀레나 고메즈,,,
3041, 신은수,,,
3042, 타티아나 마슬라니,,,
3043, 이민우,,,
3044, 나탈리아 루다코바,,,
3045, 존 트라볼타,,,
3046, 래닉 가우트리,,,
3047, 스즈키 료헤이,,,
3048, 레베카 홀,,,
3049, 김하나,,,
3050, 제이마 메이스,,,
3051, 성유리,,,
3052, K.J. 아파,,,
3053, 안나 페리스,,,
3054, 대니 맥브라이드,,,
3055, 이토 아야사,,,
3056, 한예리,,,
3057, 프란카 포텐테,,,
3058, 한고은,,,
3059, 로버트 레드포드,,,
3060, 정미숙,,,
3061, 유선,,,
3062, 나카지마 켄토,,,
3063, 앨리슨 윌리암스,,,
3064, 조셉 마젤로,,,
3065, 와타나베 슈,,,
3066, 홍 차우,,,
3067, 박신혜,,,
3068, 여민정,,,
3069, 마리안느 세이지브레트,,,
3070, 파비앙 에로,,,
3071, 임수정,,,
3072, 추티몬 추엥차로엔수키잉,,,
3073, 심혜진,,,
3074, 허준석,,,
3075, 사라 가돈,,,
3076, 헤일리 오랜티아,,,
3077, 숀 빈,,,
3078, 미와,,,
3079, 체마 델 바르코,,,
3080, 하운위,,,
3081, 오경,,,
3082, 해리 로이드,,,
3083, 아나 디 아르마스,,,
3084, 박건우,,,
3085, 릭 스프링필드,,,
3086, 조승연,,,
3087, 박태산,,,
3088, 이선균,,,
3089, 이자벨라 미코,,,
3090, 이선주,,,
3091, 토다 케이코,,,
3092, 톰 베이트먼,,,
3093, 나미카와 다이스케,,,
3094, 김새해,,,
3095, 브라이언 타이리 헨리,,,
3096, 미키 루니,,,
3097, 니브 캠벨,,,
3098, 휴 스키너,,,
3099, 박요한,,,
3100, 제이미 벨,,,
3101, 안드레아 오스바트,,,
3102, 엄상현,,,
3103, 이선호,,,
3104, 브래들리 제임스,,,
3105, 최정원,,,
