name,nation,rep_nation,distributor,date3,month,year,sales0,boxoffice_num0,num_of_screen0,num_of_screening0,nation2,num_of_ch,major_distributor,grade,time,gen1,gen2,gen3,gen4,gen5,gen6,gen7,gen8,gen9,gen10,gen11,gen12,gen13,gen14,gen15,gen16,gen17,gen18,sales_share,a_avg_dir,r_avg_dir,a_avg_act,r_avg_act
개를 훔치는 완벽한 방법,한국,한국,"(주)리틀빅픽쳐스,(주)대명문화공장",2014.12.31,12,2014,308655900,42892,205,818,한국,8,0,전체 관람가,109,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.00%,134176.6667,7.418333333,881628.7036,7.923738095
갤럭시 히어로즈: 라쳇 앤 클랭크,미국,미국,(주)영화사 빅,2016.8.17,8,2016,336281100,46638,237,2267,미국,9,0,전체 관람가,85,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0.00%,104915.6,7.521666667,186799.7974,7.788214286
갤로우즈,미국,미국,워너브러더스 코리아(주),2015.9.3,9,2015,686186406,88777,299,4654,미국,3,1,15세 관람가,81,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.00%,89000,6.81,89000,5.7075
갬빗,미국,미국,(주)나이너스엔터테인먼트,2013.11.28,11,2013,95213128,14426,94,1227,미국,0,0,15세 관람가,89,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.00%,22986.63333,7.2875,97851.15333,7.686333333
거미줄에 걸린 소녀,미국,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2018.11.28,11,2018,255329200,32418,313,3510,미국,3,1,15세 관람가,115,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.00%,370333.3333,8.533333333,113303.5833,8.048111111
거울나라의 앨리스,미국,미국,월트디즈니컴퍼니코리아(주),2016.9.7,9,2016,4145733267,513202,515,19585,미국,7,1,12세 관람가,112,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.20%,255747.5,8.48,674865.8095,8.027095238
거인,한국,한국,필라멘트픽쳐스,2014.11.13,11,2014,175333400,23153,77,2183,한국,3,0,12세 관람가,119,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,28739,8.095,4311187.143,7.48297619
걷기왕,한국,한국,CGV아트하우스,2016.10.20,10,2016,710905075,95542,462,10476,한국,2,0,12세 관람가,93,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.00%,25638.66667,8.88,1690974.438,7.427142857
걸 온 더 트레인,미국,미국,(주)씨제이이엔엠,2017.3.9,3,2017,222516500,29190,331,4012,미국,4,1,청소년 관람불가,112,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.00%,54250,7.79,564925.9792,8.05625
걸즈 앤 판처 극장판,일본,일본,"(주)머스트씨무비릴리징컴퍼니,주식회사 온 피크",2016.8.25,8,2016,256282100,28569,57,1378,기타,2,0,12세 관람가,100,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,9890.4,8.74,0,0
걸캅스,한국,한국,(주)씨제이이엔엠,2019.5.9,5,2019,13812802134,1629528,973,63163,한국,2,1,15세 관람가,107,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.70%,820680.7143,8.277142857,1088000,8.411666667
검사외전,한국,한국,(주)쇼박스,2016.2.3,2,2016,77320403264,9707581,1812,153532,한국,2,1,15세 관람가,126,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4.40%,4330000,7.5625,3428666.667,7.575119048
검은 사제들,한국,한국,(주)씨제이이엔엠,2015.11.5,11,2015,42405282092,5442128,1109,131155,한국,2,1,15세 관람가,88,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.50%,1013,5.076666667,55462,5.446666667
검은손,한국,한국,(주)스톰픽쳐스코리아,2015.4.16,4,2015,89815665,11650,178,2572,한국,2,0,청소년 관람불가,96,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.00%,3666625,7.74875,514812.25,6.316458333
게이트,한국,한국,(주)제이앤씨미디어그룹,2018.2.28,2,2018,821271100,101381,208,5474,한국,0,0,15세 관람가,92,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.00%,0,0,1138221.81,7.531354167
겟 아웃,미국,미국,유니버설픽쳐스인터내셔널 코리아(유),2017.5.17,5,2017,17431830075,2138174,945,56530,미국,4,1,15세 관람가,104,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1.00%,0,0,852694.9048,7.664190476
겨울왕국,미국,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),2014.1.16,1,2014,82461504400,10296101,1010,157683,미국,0,1,전체 관람가,103,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,5.00%,8351666.667,8.867083333,6557500,9.025
겨울왕국 2,미국,미국,월트디즈니컴퍼니코리아 유한책임회사,2019.11.21,11,2019,1.12E+11,13369064,2648,282557,미국,2,1,전체 관람가,103,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,5.80%,8351666.667,8.867083333,6557500,9.025
겨울왕국의 무민,핀란드,"핀란드,폴란드",(주)팝엔터테인먼트,2018.2.8,2,2018,132193500,24658,135,1291,기타,3,0,전체 관람가,83,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,0,0,666866.2833,8.065
결혼 이야기,영국,영국,판씨네마(주),2019.11.27,11,2019,163322560,20114,83,1213,기타,2,0,청소년 관람불가,93,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.00%,0,0,0,0
결혼전야,한국,한국,씨너스엔터테인먼트(주),2013.11.21,11,2013,8434175719,1212843,524,38819,한국,9,0,15세 관람가,118,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.50%,598948.4286,7.642857143,2452595.114,7.568459184
결혼하지 않아도 괜찮을까,일본,일본,프리비젼엔터테인먼트,2015.4.9,4,2015,96425500,11782,27,901,기타,3,0,12세 관람가,106,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.00%,7406,7.333333333,63421,7.598888889
경계선,스웨덴,"스웨덴,덴마크",(주)제이앤씨미디어그룹,2019.10.24,10,2019,148261880,17714,56,1306,기타,0,0,청소년 관람불가,110,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.00%,18000,0,0,0
경성학교: 사라진 소녀들,한국,한국,롯데쇼핑㈜롯데엔터테인먼트,2015.6.18,6,2015,2749609100,356415,489,18520,한국,3,1,15세 관람가,99,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.20%,1445714.286,7.712857143,2046288.917,8.324166667
경주,한국,한국,(주)인벤트스톤,2014.6.12,6,2014,473287500,63481,318,5727,한국,0,0,15세 관람가,145,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.00%,681319.75,7.800833333,931666.2917,7.545666667
계춘할망,한국,한국,(주)콘텐츠 난다긴다,2016.5.19,5,2016,3600794348,482516,526,19644,한국,2,0,15세 관람가,116,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.20%,1238071,7.2525,909288.1667,8.135833333
고녀석 맛나겠다2 : 함께라서 행복해,한국,한국,(주)리틀빅픽쳐스,2015.7.29,7,2015,384800000,55675,142,1768,한국,10,0,전체 관람가,80,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,56000,8.05,462489.6667,7.742916667
고령화 가족,한국,한국,(주)씨제이이엔엠,2013.5.9,5,2013,8169492153,1141222,583,37524,한국,5,1,15세 관람가,112,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.50%,1278000,7.852857143,1369362.019,7.781780952
"고산자, 대동여지도",한국,한국,(주)씨제이이엔엠,2016.9.7,9,2016,7801007258,974262,765,38048,한국,2,1,전체 관람가,129,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.40%,919336.7143,7.32,2660785.375,7.887678571
고스트 메신저 극장판,한국,한국,에이원엔터테인먼트,2014.5.22,5,2014,184194000,23802,81,1211,한국,5,0,12세 관람가,78,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.00%,24000,9.19,0,8.3125
고스트버스터즈,미국,미국,유니버설픽쳐스인터내셔널 코리아(유),2016.8.25,8,2016,4116570075,515553,511,18026,미국,5,1,12세 관람가,116,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.20%,571833.3333,7.978333333,2468816.667,8.205238095
고질라,미국,미국,워너브러더스 코리아(주),2014.5.15,5,2014,5972847963,709734,610,25335,미국,0,1,12세 관람가,132,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0.40%,1906000,7.286,826010.25,7.68402381
고질라: 킹 오브 몬스터,미국,미국,워너브러더스 코리아(주),2019.5.29,5,2019,3085036318,359041,923,15867,미국,3,1,12세 관람가,132,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0.20%,1660000,7.8725,430470.0667,8.190761905
"고흐, 영원의 문에서",미국,"미국,프랑스",(주)팝엔터테인먼트,2019.12.26,12,2019,130990960,16691,68,572,미국,4,0,12세 관람가,111,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.00%,33000,8.51,370016.875,7.988
곡성,한국,"한국,미국",이십세기폭스코리아(주),2016.5.12,5,2016,55863520382,6879908,1485,130322,한국,5,1,15세 관람가,94,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3.20%,3000211.8,7.741666667,1488110.605,7.578065476
곤지암,한국,한국,(주)쇼박스,2018.3.28,3,2018,21442194144,2675575,1124,88477,한국,0,1,15세 관람가,94,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1.20%,1041666.667,6.956666667,1905846.877,7.416103175
골드,미국,미국,CGV아트하우스,2017.3.22,3,2017,195316900,25612,200,3102,미국,0,0,15세 관람가,121,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.00%,248300.1667,8.021666667,543935.1111,8.058333333
골든슬럼버,한국,한국,(주)씨제이이엔엠,2018.2.14,2,2018,11412768798,1387508,833,42991,한국,5,1,15세 관람가,108,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.60%,347686.5,7.575,2274409.238,7.809019048
곰돌이 푸 다시 만나 행복해,미국,미국,월트디즈니컴퍼니코리아 유한책임회사,2018.10.3,10,2018,4093369860,492201,536,21601,미국,4,1,전체 관람가,104,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.20%,1330243.167,8.14,1679195.667,8.528333333
