,name,nation,rep_nation,distributor,director1,director2,director3,director4,director5,director6,director7,actor1,actor2,actor3,actor4,actor5,actor6,actor7,actor8,actor9,actor10,actor11,actor12,actor13,actor14,actor15,actor16,month,year,director8,director9,actor17,actor18,actor19,actor20,actor21,actor22,actor23,actor24,actor25,actor26,actor27,actor28,actor29,actor30,actor31,actor32,actor33,actor34,actor35,actor36,actor37,actor38,actor39,actor40,actor41,actor42,actor43,actor44,actor45,actor46,sales0,boxoffice_num0,num_of_screen0,num_of_screening0,nation2,num_of_ch,major_distributor,grade,time,genre
1847,더 웹툰: 예고살인,한국,한국,(주)씨제이이엔엠, 김용균,,,,NA,NA,NA, 이시영, 엄기준,,,,,,,,,,,,NA,NA,NA,6,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8537683070,1201457,541,35931,한국,2,1,15세 관람가,104,     공포  스릴러 
1848,웜 바디스,미국,미국,(주)씨제이이엔엠, 조나단 레빈,,,,NA,NA,NA, 니콜라스 홀트, 테레사 팔머, 존 말코비치,,,,,,,,,,,NA,NA,NA,3,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8361708124,1169839,477,37960,미국,3,1,NA,96,   코미디  공포   멜로/로맨스 
1849,고령화 가족,한국,한국,(주)씨제이이엔엠, 송해성,,,,NA,NA,NA, 박해일, 윤제문, 공효진, 윤여정, 진지희,,,,,,,,,NA,NA,NA,5,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8169492153,1141222,583,37524,한국,5,1,15세 관람가,112,  가족 드라마 
1850,헝거게임: 캣칭 파이어,미국,미국,롯데쇼핑㈜롯데엔터테인먼트, 프란시스 로렌스,,,,NA,NA,NA, 제니퍼 로렌스, 조쉬 허처슨, 리암 헴스워스, 우디 해럴슨, 샘 클라플린, 필립 세이모어 호프만, 토비 존스, 지나 말론, 엘리자베스 뱅크스, 폴라 맬콤슨,,,,NA,NA,NA,11,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7850816000,1125739,630,33686,미국,10,1,15세 관람가,146,    판타지  액션 
1851,더 울버린,미국,미국,이십세기폭스코리아(주), 제임스 맨골드,,,,NA,NA,NA, 휴 잭맨,,,,,,,,,,,,,NA,NA,NA,7,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7849518000,1075333,707,26905,미국,1,1,15세 관람가,125,   액션  sf 
1852,동창생,한국,한국,(주)쇼박스, 박홍수,,,,NA,NA,NA, T.O.P, 한예리, 윤제문, 조성하, 김유정,,,,,,,,,NA,NA,NA,11,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7010197126,1048280,660,36401,한국,5,1,15세 관람가,113, 액션  드라마 
1853,에픽 : 숲속의 전설,미국,미국,이십세기폭스코리아(주),,,,,NA,NA,NA,,,,,,,,,,,,,,NA,NA,NA,8,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6748072000,978785,471,18377,미국,0,1,전체 관람가,102,      애니메이션  모험 
1854,전국노래자랑,한국,한국,롯데쇼핑㈜롯데엔터테인먼트,,,,,NA,NA,NA,,,,,,,,,,,,,,NA,NA,NA,5,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6687636000,978413,581,41649,한국,0,1,12세 관람가,112, 코미디 
1855,슈퍼배드 2,미국,미국,유니버설픽쳐스인터내셔널 코리아(유), 피에르 꼬팽, 크리스 리노드,,,NA,NA,NA, 스티브 카렐, 미란다 코스그로브,,,,,,,,,,,,NA,NA,NA,9,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6605655500,962862,424,17373,미국,2,1,전체 관람가,98,   애니메이션  코미디  가족 
1856,잭 더 자이언트 킬러,미국,미국,워너브러더스 코리아(주), 브라이언 싱어,,,,NA,NA,NA, 니콜라스 홀트, 이완 맥그리거, 엘리너 톰린슨, 스탠리 투치, 이안 맥쉐인, 빌 나이,,,,,,,,NA,NA,NA,2,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7376481000,956154,507,27115,미국,6,1,NA,114,     모험  드라마  판타지 
