idx,name,date,sales ,sales_share,boxoffice_num,num_of_screen,rep_nation,nation,num_of_screenings,distributor,director1,director2,director3,director4,actor1,actor2,actor3,actor4,actor5,actor6,actor7,actor8,actor9,actor10,actor11,actor12,actor13,actor14,actor15,actor16,actor17,actor18,actor19,actor20,actor21,actor22,actor23,actor24,actor25,actor26,actor27,actor28,actor29,actor30
42,23 아이덴티티,2017.2.22,"13,609,648,135",0.8%,"1,675,819",952,"44,104",미국,미국,유니버설픽쳐스인터내셔널 코리아(유), M. 나이트 샤말란,,,, 제임스 맥어보이, 안야 테일러 조이,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,임금님의 사건수첩,2017.4.26,"12,651,193,723",0.7%,"1,635,003","1,054","53,005",한국,한국,(주)씨제이이엔엠, 문현성,,,, 이선균, 안재홍,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,부라더,2017.11.2,"11,783,109,998",0.7%,"1,492,903",889,"54,975",한국,한국,메가박스중앙(주)플러스엠, 장유정,,,, 마동석, 이동휘, 이하늬,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,기억의 밤,2017.11.29,"10,646,654,660",0.6%,"1,386,611",759,"52,847",한국,한국,"메가박스중앙(주)플러스엠,주식회사 키위컴퍼니", 장항준,,,, 강하늘, 김무열,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,해피 데스데이,2017.11.8,"11,004,455,402",0.6%,"1,382,650",714,"52,101",미국,미국,유니버설픽쳐스인터내셔널 코리아(유), 스콧 제프리,,,, 조지나 제인, 마이클 오우수,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,브이아이피,2017.8.23,"10,956,621,835",0.6%,"1,373,316",996,"44,650",한국,한국,워너브러더스 코리아(주), 박훈정,,,, 장동건, 김명민, 박희순, 이종석,,,,,,,,,,,,,,,,,,,,,,,,,,
48,특별시민,2017.4.26,"10,494,768,945",0.6%,"1,362,634","1,154","46,377",한국,한국,(주)쇼박스, 박인제,,,, 최민식, 곽도원, 심은경, 문소리, 라미란, 류혜영, 이기홍,,,,,,,,,,,,,,,,,,,,,,,
49,에이리언: 커버넌트,2017.5.9,"10,745,826,264",0.6%,"1,307,226",841,"41,761",미국,"미국,호주,뉴질랜드",이십세기폭스코리아(주), 리들리 스콧,,,, 마이클 패스벤더, 캐서린 워터스턴,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,장산범,2017.8.17,"10,341,783,083",0.6%,"1,306,438",711,"34,768",한국,한국,(주)넥스트엔터테인먼트월드(NEW), 허정,,,, 염정아, 박혁권,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,악녀,2017.6.8,"9,739,662,144",0.6%,"1,208,081",685,"46,070",한국,한국,(주)넥스트엔터테인먼트월드(NEW), 정병길,,,, 김옥빈, 신하균, 성준, 김서형, 조은지,,,,,,,,,,,,,,,,,,,,,,,,,
52,해빙,2017.3.1,"9,905,406,822",0.6%,"1,204,600",915,"46,227",한국,한국,롯데쇼핑㈜롯데엔터테인먼트, 이수연,,,, 조진웅, 신구, 김대명,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,라라랜드,2016.12.7,"9,822,110,162",0.6%,"1,185,287",590,"37,450",미국,미국,판씨네마(주), 데이미언 셔젤,,,, 라이언 고슬링, 엠마 스톤,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,하루,2017.6.15,"9,072,737,842",0.5%,"1,129,609",781,"45,808",한국,한국,CGV아트하우스,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,지오스톰,2017.10.19,"8,480,864,614",0.5%,"1,028,384",854,"35,453",미국,미국,워너브러더스 코리아(주), 딘 데블린,,,, 제라드 버틀러, 짐 스터게스, 애비 코니쉬,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,스타워즈: 라스트 제다이,2017.12.14,"8,535,886,061",0.5%,"946,547","1,107","30,914",미국,미국,월트디즈니컴퍼니코리아 유한책임회사, 라이언 존슨,,,, 데이지 리들리, 마크 해밀, 아담 드라이버, 오스카 아이삭, 캐리 피셔, 존 보예가,,,,,,,,,,,,,,,,,,,,,,,,
