idx,name,date,sales ,sales_share,boxoffice_num,num_of_screen,rep_nation,nation,num_of_screenings,distributor,director1,director2,director3,director4,director5,director6,director7,director8,director9,actor1,actor2,actor3,actor4,actor5,actor6,actor7,actor8,actor9,actor10,actor11,actor12,actor13,actor14,actor15,actor16,actor17,actor18,actor19
62,미쓰백,2018.10.11,"6,040,344,066",0.3%,"722,182",671,"41,961",한국,한국,(주)리틀빅픽쳐스, 이지원,,,,,,,,, 한지민, 김시아, 이희준,,,,,,,,,,,,,,,,
63,신비아파트: 금빛 도깨비와 비밀의 동굴,2018.7.25,"5,001,247,250",0.3%,"678,091",762,"16,175",한국,한국,(주)씨제이이엔엠, 김병갑,,,,,,,,, 조현정, 김영은, 김채하, 양정화,,,,,,,,,,,,,,,
64,퍼스트맨,2018.10.18,"6,094,765,639",0.3%,"665,364","1,190","40,580",미국,미국,유니버설픽쳐스인터내셔널 코리아(유), 데이미언 셔젤,,,,,,,,, 라이언 고슬링, 클레어 포이,,,,,,,,,,,,,,,,,
65,스파이더맨: 뉴 유니버스,2018.12.12,"5,305,289,076",0.3%,"639,934",722,"22,113",미국,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점, 밥 퍼시케티, 피터 램지, 로드니 로스맨,,,,,,, 샤메익 무어, 헤일리 스테인펠드, 니콜라스 케이지, 제이크 존슨, 리브 슈라이버, 마허샬라 알리, 브라이언 타이리 헨리,,,,,,,,,,,,
66,위대한 쇼맨,2017.12.20,"4,856,890,300",0.3%,"588,434",444,"16,054",미국,미국,"월트디즈니컴퍼니코리아 유한책임회사,이십세기폭스코리아(주)", 마이클 그레이시,,,,,,,,, 휴 잭맨, 잭 에프론, 미셸 윌리엄스, 레베카 퍼거슨, 젠데이아 콜먼,,,,,,,,,,,,,,
67,인시디어스4: 라스트 키,2018.1.31,"4,301,309,864",0.2%,"554,521",769,"23,869",미국,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점, 애덤 로비텔,,,,,,,,, 린 샤예, 스펜서 로크, 조쉬 스튜어트, 하비에르 보텟,,,,,,,,,,,,,,,
68,"그날, 바다",2018.4.12,"4,446,000,528",0.2%,"540,631",643,"30,376",한국,한국,(주)엣나인필름, 김지영,,,,,,,,, 정우성,,,,,,,,,,,,,,,,,,
69,툼레이더,2018.3.8,"4,500,905,762",0.2%,"540,410",806,"31,823",미국,미국,워너브러더스 코리아(주), 로아 우타우,,,,,,,,, 알리시아 비칸데르,,,,,,,,,,,,,,,,,,
70,페르디난드,2018.1.3,"3,854,216,500",0.2%,"533,776",698,"13,789",미국,미국,이십세기폭스코리아(주), 카를로스 살다나,,,,,,,,, 존 시나,,,,,,,,,,,,,,,,,,
71,버닝,2018.5.17,"4,716,771,098",0.3%,"528,435",739,"26,514",한국,한국,CGV아트하우스, 이창동,,,,,,,,, 유아인, 스티븐 연, 전종서,,,,,,,,,,,,,,,,
