idx,name,date,sales ,sales_share,boxoffice_num,num_of_screen,rep_nation,nation,num_of_screenings,distributor,director1,director2,actor1,actor2,actor3,actor4,actor5,actor6,actor7,actor8,actor9,actor10,actor11,actor12,actor13,actor14,actor15,actor16,actor17,actor18,actor19,actor20,actor21,actor22,actor23,actor24,actor25,actor26,actor27,actor28,actor29,actor30,actor31,actor32,actor33,actor34,actor35,actor36,actor37,actor38,actor39,actor40,actor41,actor42,actor43,actor44,actor45,actor46
55,헝거게임: 더 파이널,2015.11.18,"6,069,167,163",0.40%,"806,520",661,"26,973",미국,미국,롯데쇼핑㈜롯데엔터테인먼트, 프란시스 로렌스,, 제니퍼 로렌스, 조쉬 허처슨, 리암 헴스워스,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,기술자들,2014.12.24,"6,241,817,635",0.40%,"786,257",481,"18,808",한국,한국,롯데쇼핑㈜롯데엔터테인먼트, 김홍선,, 김우빈, 김영철, 고창석, 이현우, 조윤희, 임주환,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,신데렐라,2015.3.19,"5,500,502,900",0.30%,"716,491",531,"27,508",미국,미국,월트디즈니컴퍼니코리아(주),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,픽셀,2015.7.16,"5,390,909,947",0.30%,"681,945",557,"21,307",미국,미국,유니버설픽쳐스인터내셔널 코리아(유),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,열정같은소리하고있네,2015.11.25,"4,758,959,902",0.30%,"654,102",566,"30,459",한국,한국,(주)넥스트엔터테인먼트월드(NEW), 정기훈,, 정재영, 박보영,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,특종: 량첸살인기,2015.10.22,"4,754,763,118",0.30%,"616,481",776,"31,783",한국,한국,롯데쇼핑㈜롯데엔터테인먼트, 노덕,, 조정석, 이미숙, 이하나,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,서부전선,2015.9.24,"4,751,661,400",0.30%,"609,063",509,"18,935",한국,한국,롯데쇼핑㈜롯데엔터테인먼트, 천성일,, 설경구, 여진구,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,채피,2015.3.12,"4,620,380,654",0.30%,"573,661",536,"24,669",미국,미국,유니버설픽쳐스인터내셔널 코리아(유), 닐 블롬캠프,, 휴 잭맨, 샬토 코플리, 시고니 위버, 데브 파텔,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,극장판 요괴워치: 탄생의 비밀이다냥!,2015.7.22,"3,888,539,100",0.20%,"550,924",509,"11,765",일본,일본,(주)씨제이이엔엠, 타카하시 시게하루, 우시로 신지, 박경혜, 김현지, 홍범기, 김율, 강호철, 현경수, 이상범, 임윤선, 김채하, 권성혁, 토마츠 하루카, 세키 토모카즈,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,헬머니,2015.3.5,"4,120,166,972",0.20%,"522,929",422,"24,846",한국,한국,(주)넥스트엔터테인먼트월드(NEW), 신한솔,, 김수미, 정만식, 김정태, 이태란, 정애연, 이영은, 이아인, 박준금,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
